id,menus_appeared,true_menus_count
27710,3,2
27725,4,2
27732,3,2
27754,20,18
27758,4,3
27768,9,8
27807,2,1
27841,4,2
27871,17,16
27896,6,5
27921,8,6
27925,4,3
27970,3,2
28013,2,1
28080,9,8
28199,4,2
28205,3,2
28228,2,1
28345,3,2
28375,3,2
28427,9,7
28431,11,10
28561,3,2
28565,13,9
28724,5,4
28884,4,1
28900,5,4
29034,9,8
29101,17,16
29106,3,2
29125,2,1
29147,2,1
29323,3,2
29409,24,23
29642,8,4
29678,2,1
29703,23,16
29739,2,1
29798,3,2
29992,6,5
29997,6,2
30009,7,6
30016,5,2
30022,5,4
30093,3,2
30112,2,1
30237,31,30
30274,3,2
30349,3,2
30457,5,4
30475,3,2
30586,5,3
30717,4,3
30776,2,1
30788,8,7
30812,10,8
30950,11,10
30953,12,11
30956,21,20
30963,28,27
30989,8,5
31022,40,38
31026,8,7
31046,3,2
31078,3,2
31330,6,5
31352,13,12
31361,5,4
31366,6,5
31370,5,4
31448,2,1
31476,8,7
31517,4,3
31520,6,4
31521,12,11
31533,9,8
31857,3,2
31871,4,3
31873,4,3
31884,3,2
31960,2,1
31963,2,1
31965,2,1
31972,3,2
31981,3,2
31986,3,2
31992,2,1
32011,49,46
32091,3,2
32123,3,2
32297,4,2
32299,6,2
32317,4,2
32344,2,1
32407,5,4
32468,2,1
32550,4,3
32557,32,29
32640,14,13
32647,17,16
32709,2,1
32846,13,10
32864,4,2
32865,4,2
32870,6,5
32948,2,1
32974,12,11
33033,2,1
33352,14,13
33381,11,10
33392,2,1
33521,3,2
33542,6,5
33547,9,8
33658,3,2
33694,19,18
33709,2,1
33912,5,4
34042,2,1
34045,3,2
34074,3,2
34083,3,2
34153,2,1
34189,4,3
34424,4,2
34464,4,3
34574,2,1
34808,2,1
34810,2,1
34836,2,1
34843,2,1
34958,3,2
35069,2,1
35133,5,4
35205,3,2
35225,2,1
35283,3,2
35298,3,2
35374,3,2
35420,5,4
35645,24,23
35681,6,5
35744,6,5
35776,20,19
35805,3,2
35943,9,6
35952,3,2
36017,9,8
36031,2,1
36116,6,4
36228,2,1
36233,2,1
36265,2,1
36335,8,7
36603,2,1
36709,12,11
36771,9,3
36789,13,1
36912,8,5
36963,18,17
37058,14,13
37075,56,29
37134,2,1
37147,2,1
37149,3,2
37417,18,17
37457,4,3
37514,25,15
37604,2,1
37606,2,1
37753,3,2
37779,5,4
38257,11,10
38512,2,1
38517,2,1
38609,2,1
38712,2,1
38722,4,2
38764,4,3
38766,2,1
38768,2,1
38770,4,3
38830,3,2
38871,2,1
38962,6,5
39281,15,13
39285,4,3
39363,7,6
39496,39,38
39632,8,5
39669,2,1
39693,3,2
39757,8,4
39952,8,7
39984,12,9
40003,3,2
40042,26,24
40090,12,9
40116,5,3
40127,2,1
40170,3,2
40195,6,3
40259,13,12
40298,6,3
40393,4,2
40411,3,2
40412,2,1
40457,5,4
40495,2,1
40508,2,1
40659,2,1
40676,2,1
40682,8,7
40710,18,15
40730,4,3
40765,2,1
40894,3,2
40944,9,8
41147,6,3
41199,12,11
41358,5,3
41436,4,3
41589,7,6
41836,6,5
41845,3,2
41854,3,2
41984,3,2
41992,4,3
42068,4,3
42168,6,5
42169,4,3
42288,2,1
42300,17,16
42318,2,1
42340,3,2
42342,6,5
42358,2,1
42372,2,1
42373,2,1
42389,3,2
42504,3,2
42536,6,5
42589,4,3
42590,2,1
42612,4,3
42990,7,6
43080,3,2
43081,2,1
43292,6,5
43583,3,2
43879,75,69
44028,13,12
44045,4,3
44395,8,6
44407,2,1
44409,4,3
44441,7,6
44706,3,2
44771,11,10
44977,11,10
45096,2,1
45200,2,1
45202,2,1
45243,25,24
45273,12,11
45291,7,5
45350,15,14
45517,6,4
45732,7,6
45940,2,1
45995,4,2
46002,3,2
46217,2,1
46509,2,1
46660,11,7
46939,10,9
47011,3,1
47036,2,1
47113,2,1
47121,2,1
47136,7,6
47185,5,2
47298,4,3
47417,12,7
47537,2,1
47559,39,35
47670,13,12
47696,2,1
47700,3,2
47746,4,3
47762,8,7
47775,7,6
47822,2,1
47838,6,5
48006,4,2
48487,2,1
48592,5,4
48682,7,4
48795,10,8
48822,10,11
48828,2,1
48845,8,7
48848,8,6
48849,2,1
48851,2,1
49062,2,1
49159,3,2
49160,2,1
49196,3,2
49359,3,2
49498,8,6
49681,2,1
49730,2,1
49797,2,1
50183,3,2
50311,3,2
50373,2,1
50381,2,1
50436,2,1
50457,2,1
50616,5,4
50720,7,6
50826,3,2
50987,9,8
51003,6,5
51015,59,55
51204,3,2
51394,3,2
51412,3,2
51592,3,2
51601,2,1
51634,29,27
51670,16,15
51802,2,1
51869,4,3
51911,31,30
51930,4,2
51944,2,1
51999,37,36
52066,8,7
52210,15,9
52532,7,5
52555,21,18
52697,2,1
52720,2,1
52760,5,4
52947,3,2
53018,5,4
53347,9,7
53439,7,6
53500,7,6
53602,6,5
53604,9,8
53656,2,1
53833,2,1
53920,4,3
54137,18,17
54416,6,5
54495,3,2
54530,3,2
54783,2,1
54928,2,1
54929,2,1
54932,2,1
54951,5,4
55053,5,4
55055,4,3
55207,13,12
55318,3,2
55451,4,3
55493,3,2
55732,5,4
55752,3,2
55952,3,2
56259,18,19
56295,2,1
56303,2,1
56436,4,3
56440,4,3
56461,2,1
56465,2,1
56588,4,3
56651,2,1
56703,3,2
56778,3,2
56782,3,2
56963,2,1
56968,3,2
56997,5,4
57090,2,1
57126,23,21
57151,2,1
57183,20,19
57270,2,1
57291,8,5
57334,5,3
57340,4,3
57398,2,1
57408,4,3
57467,2,1
57476,29,28
57484,5,4
57519,12,11
57522,18,17
57712,6,5
58078,2,1
58095,25,20
58134,6,5
58214,3,2
58427,2,1
58430,2,1
58565,7,6
58756,2,1
58927,10,9
59315,3,2
59320,5,4
59378,3,2
59685,2,1
59686,2,1
59742,4,2
59807,10,9
60021,2,1
60181,2,1
60182,2,1
60218,9,8
60221,2,1
60261,3,2
60297,3,2
60612,2,1
61195,5,3
61439,3,2
61478,2,1
61527,14,12
61631,17,16
61634,17,16
61635,16,15
61636,16,15
61901,3,2
62125,2,1
62199,14,13
62205,9,8
62636,2,1
62638,3,2
62680,4,2
63123,3,2
63175,2,1
63178,2,1
63197,23,21
63236,4,2
63453,4,3
63460,4,3
63689,2,1
63712,3,2
63997,2,1
64021,4,3
64263,2,1
64287,62,61
64493,2,1
64502,5,3
64826,2,1
64835,3,2
64935,2,1
65229,2,1
65407,3,2
65627,7,4
65669,2,1
65680,10,8
65683,2,1
65871,9,2
66055,2,1
66057,2,1
66058,2,1
66059,2,1
66063,2,1
66073,2,1
66087,3,2
66093,2,1
66098,2,1
66105,2,1
66106,2,1
66109,2,1
66110,2,1
66114,2,1
66115,2,1
66116,2,1
66117,2,1
66127,2,1
66195,2,1
66208,2,1
66303,11,9
66369,2,1
66400,2,1
66490,2,1
66566,6,5
66684,2,1
66727,6,4
66778,6,5
66885,14,13
66910,2,1
66918,2,1
66919,2,1
66923,2,1
66929,2,1
66933,2,1
67052,15,14
67077,2,1
67482,5,4
67501,8,4
67793,5,4
68146,2,1
68184,6,5
68313,2,1
68320,3,2
68323,2,1
68325,2,1
68326,2,1
68327,2,1
68328,2,1
68331,2,1
68335,2,1
68336,2,1
68337,2,1
68339,2,1
68341,3,2
68794,2,1
68877,3,2
68906,10,9
68976,10,9
68981,10,9
69327,6,5
69427,7,6
69438,4,3
69582,6,5
69871,9,6
69960,5,4
70031,2,1
70116,4,2
70146,4,2
70151,12,11
70436,2,1
70438,2,1
70447,2,1
70464,2,1
70466,2,1
70485,2,1
70486,2,1
70487,2,1
70544,2,1
70546,2,1
70549,2,1
70561,5,4
70563,4,2
70567,2,1
70568,2,1
70569,2,1
70575,2,1
70576,2,1
70586,2,1
70588,2,1
70590,2,1
70594,2,1
70601,2,1
70647,6,5
70649,13,12
70669,11,10
70683,3,2
70684,4,3
70797,2,1
71060,2,1
71138,2,1
71206,6,5
71381,2,1
71393,2,1
71434,2,1
71437,2,1
71443,2,1
71444,2,1
71445,2,1
71451,2,1
71454,2,1
71464,2,1
71504,6,5
71594,3,2
71852,5,3
72009,14,3
72067,7,6
72103,4,2
72161,8,7
72162,2,1
72197,3,2
72327,14,13
72363,7,5
72468,4,3
72535,2,1
72588,9,8
72600,2,1
72650,2,1
72681,2,1
72683,2,1
72716,5,4
72757,5,4
72902,2,1
73019,8,7
73091,6,5
73313,2,1
73421,4,3
73442,4,3
73466,2,1
73500,2,1
73593,2,1
73614,2,1
73618,10,9
73719,7,4
73739,6,5
73761,4,2
73949,6,5
73966,2,1
74175,2,1
74197,13,12
74352,11,10
74453,4,3
74937,6,3
74970,3,2
75050,26,25
75118,2,1
75133,4,3
75135,10,7
75166,3,2
75181,2,1
75326,2,1
75506,7,5
75551,6,5
75633,2,1
75641,3,2
75643,2,1
75650,2,1
75654,2,1
75655,3,2
75729,10,9
75803,4,3
75839,3,1
75938,2,1
75968,5,4
75996,2,1
76084,11,10
76316,4,2
76545,10,9
76698,2,1
76736,2,1
76959,2,1
76966,2,1
77004,2,1
77013,2,1
77183,3,2
77200,2,1
77217,2,1
77450,2,1
77452,2,1
77496,2,1
77523,11,9
77616,4,3
77632,7,6
77793,2,1
77841,3,2
77885,6,5
78006,3,2
78029,4,3
78191,4,3
78497,3,2
78607,5,4
78612,5,4
78613,5,4
78614,4,3
78633,6,4
78714,15,9
78739,2,1
78765,5,4
78861,4,3
78883,3,2
79166,5,4
79203,3,2
79410,2,1
79479,10,5
79480,4,2
79502,2,1
79529,4,3
79530,4,3
79580,3,2
79582,3,2
79583,3,2
79647,4,3
79810,2,1
79835,7,6
79846,2,1
79866,2,1
79960,3,2
79968,3,2
79969,5,4
79971,3,2
79973,6,5
79976,3,2
79977,3,2
79979,4,3
79981,4,3
80027,4,3
80035,3,2
80036,4,3
80039,5,4
80042,4,3
80044,3,2
80062,2,1
80063,7,6
80076,4,3
80081,5,4
80083,3,2
80086,5,4
80143,4,3
80193,19,18
80267,2,1
80269,3,2
80349,3,2
80374,2,1
80383,2,1
80405,20,14
80409,3,2
80416,4,3
80417,3,2
80418,4,3
80435,2,1
80474,6,5
80489,22,17
80575,4,3
80648,3,2
80650,11,9
80656,6,5
80726,5,4
80835,8,7
80838,3,2
80865,2,1
81057,2,1
81105,2,1
81231,5,3
81247,12,9
81390,11,9
81680,3,2
81744,3,2
81857,8,5
82137,5,3
82200,4,3
82202,2,1
82203,2,1
82289,5,3
82750,2,1
82755,3,2
82786,2,1
82925,2,1
82986,3,1
82992,3,1
83072,3,2
83083,2,1
83093,5,4
83251,2,1
83303,2,1
83350,4,3
83368,2,1
83466,4,3
83497,11,8
83822,2,1
83981,2,1
84110,2,1
84233,2,1
84466,2,1
84887,3,2
85073,4,1
85078,4,1
85080,3,1
85166,2,1
85227,15,14
85256,7,6
85591,6,3
85664,2,1
85668,2,1
85725,2,1
85741,3,2
85853,5,4
85857,2,1
85858,2,1
85863,2,1
86123,2,1
86124,2,1
86135,2,1
86155,2,1
86160,2,1
86161,2,1
86248,4,3
86479,2,1
86480,2,1
86481,2,1
86483,3,2
86484,2,1
86486,2,1
86555,2,1
87989,5,4
88121,2,1
88193,2,1
88200,2,1
88225,3,1
88227,2,1
88228,3,2
88320,7,5
88659,2,1
88663,2,1
88666,2,1
88668,2,1
88674,2,1
88677,2,1
88678,2,1
88681,2,1
88682,2,1
88683,4,3
88690,9,8
88787,2,1
88828,2,1
89418,2,1
89420,2,1
89435,4,3
89443,5,3
89460,3,2
89532,2,1
90179,3,2
90335,5,4
90464,4,3
90486,2,1
90567,2,1
90575,2,1
90823,3,2
90909,3,2
90938,3,2
90982,2,1
91162,2,1
91190,4,2
91341,6,5
91369,2,1
91388,4,3
91500,2,1
91502,2,1
91678,8,4
91693,4,3
91701,2,1
91719,2,1
91727,5,4
91770,3,2
91775,2,1
91836,6,2
91850,2,1
91867,2,1
91875,3,2
91939,7,4
91955,2,1
91981,3,2
92092,3,2
92096,9,8
92115,6,3
92189,2,1
92200,2,1
92216,2,1
92380,3,2
92521,5,4
92582,5,4
93031,2,1
93032,2,1
93033,2,1
93034,2,1
93037,2,1
93039,2,1
93040,2,1
93042,2,1
93044,2,1
93167,3,2
93264,2,1
93522,3,2
93997,2,1
94064,11,10
94147,2,1
94150,2,1
94152,2,1
94255,2,1
94365,17,15
94410,2,1
94495,2,1
94901,28,25
94973,6,5
95149,35,31
95153,6,3
95197,4,3
95200,2,1
95330,2,1
95370,3,2
95381,2,1
95536,5,3
95546,2,1
95549,2,1
95795,3,2
95861,2,1
95866,2,1
95961,2,1
96149,3,2
96190,2,1
96193,2,1
96194,2,1
96196,2,1
96374,8,7
96653,3,2
96687,6,5
96772,2,1
96780,2,1
96782,2,1
96790,2,1
96793,2,1
96894,2,1
96898,2,1
96903,10,9
97103,2,1
97105,2,1
97107,2,1
97109,2,1
97142,2,1
97187,2,1
97188,2,1
97441,7,4
97474,2,1
97589,5,4
97806,2,1
97880,2,1
97905,21,14
98115,7,6
98156,2,1
98567,2,1
98590,2,1
98683,2,1
98795,4,1
98796,2,1
98797,2,1
98798,2,1
98799,2,1
98805,2,1
98807,2,1
98810,2,1
98816,2,1
98819,2,1
98822,2,1
98823,2,1
98827,2,1
98828,2,1
98832,2,1
98833,2,1
98834,2,1
98876,3,2
98895,2,1
98898,2,1
98899,2,1
98900,2,1
98901,2,1
98997,2,1
99174,2,1
99175,2,1
99282,3,2
99528,2,1
99549,4,3
99585,5,4
99643,3,2
99652,2,1
99922,2,1
99949,40,37
99971,2,1
100032,3,2
100230,2,1
100231,4,3
100233,4,3
100462,2,1
100703,2,1
100713,18,12
100757,2,1
100824,2,1
100838,2,1
100848,2,1
101090,2,1
101333,2,1
101532,2,1
101907,3,2
101982,3,2
101983,2,1
102094,2,1
102352,2,1
102374,2,1
102705,5,3
102826,3,2
102828,2,1
102835,2,1
103257,3,2
103262,3,2
103472,3,2
103994,2,1
104021,2,1
104106,5,4
104597,2,1
104600,2,1
104601,2,1
104605,2,1
104616,3,2
104617,2,1
104618,2,1
104778,2,1
104797,4,3
104831,2,1
104909,4,3
104951,2,1
105186,2,1
105417,7,6
105623,9,8
105807,4,2
105831,2,1
105926,2,1
106251,5,2
106886,3,2
107273,3,2
107356,2,1
107357,2,1
107592,2,1
107817,2,1
107841,2,1
108298,2,1
108300,2,1
108364,3,2
108501,2,1
108581,5,4
108706,2,1
109620,5,3
109701,2,1
110295,2,1
110347,3,2
110407,4,3
110450,3,2
110567,3,2
110576,5,4
110984,2,1
111037,4,2
111112,41,39
111308,2,1
111310,2,1
111312,3,2
111313,2,1
111314,2,1
111551,2,1
111559,6,2
111573,2,1
111850,4,2
112035,2,1
112065,2,1
112203,2,1
112204,3,2
112356,3,2
112371,3,2
112377,2,1
112767,2,1
112858,3,2
112862,2,1
112926,8,6
113050,2,1
113121,2,1
113146,2,1
113273,2,1
113282,2,1
113284,2,1
113285,2,1
113286,2,1
113287,2,1
113288,2,1
113289,2,1
113291,2,1
113293,2,1
113294,2,1
113295,2,1
113297,2,1
113320,2,1
113322,2,1
113338,2,1
113339,2,1
113340,2,1
113343,2,1
113350,2,1
113354,2,1
113371,2,1
113392,2,1
113394,3,2
113396,2,1
113509,3,2
113748,2,1
113751,2,1
113759,3,2
113960,3,2
114083,7,5
114193,2,1
114266,2,1
114585,2,1
114888,2,1
114897,2,1
115400,4,2
115886,9,6
115918,2,1
116192,3,2
116242,2,1
116475,8,6
116617,2,1
116618,2,1
116619,2,1
116620,2,1
116621,2,1
116808,2,1
117301,2,1
117379,4,2
117380,2,1
117428,4,3
117695,2,1
117855,4,3
117915,4,3
117974,2,1
118027,5,4
118221,5,4
118417,2,1
118443,2,1
118491,2,1
118729,4,3
118800,3,2
118852,3,2
118968,15,14
119150,7,6
119219,2,1
119379,4,3
119492,2,1
119494,2,1
119496,2,1
119558,2,1
119801,2,1
119802,2,1
119803,2,1
119804,2,1
119805,2,1
119806,2,1
119808,2,1
119809,2,1
119810,2,1
119812,2,1
119813,2,1
119820,2,1
120180,2,1
120284,2,1
120285,2,1
120310,2,1
120515,3,2
120670,2,1
120709,2,1
121043,3,1
121103,9,5
121406,5,4
121450,3,1
121506,4,3
121513,2,1
121515,2,1
121522,2,1
121523,2,1
121527,2,1
121532,2,1
121536,2,1
121540,2,1
121543,2,1
121544,2,1
121769,2,1
122025,2,1
122027,2,1
122333,5,4
122834,3,2
123082,3,2
123182,2,1
123309,3,2
123316,2,1
123318,2,1
123407,2,1
124273,2,1
124677,2,1
124682,6,5
125331,2,1
125408,2,1
125662,3,2
125711,2,1
125760,3,2
125795,2,1
125943,5,3
126076,2,1
126091,2,1
126097,2,1
126100,2,1
126327,2,1
126328,2,1
126527,2,1
126833,2,1
126886,4,3
126901,3,2
126903,2,1
126942,3,2
127227,3,2
127381,2,1
127545,3,2
127729,3,2
127741,2,1
127829,8,7
127876,4,3
127962,3,2
127965,3,2
127975,3,2
127979,3,2
127990,2,1
127999,3,2
128177,2,1
128227,3,1
128370,2,1
128391,2,1
128392,2,1
128438,2,1
129152,2,1
129172,2,1
129210,2,1
129211,2,1
129246,2,1
129292,2,1
129315,2,1
129503,2,1
129546,2,1
129562,10,8
129792,2,1
129793,2,1
130088,3,2
130151,2,1
130157,2,1
130374,2,1
130507,3,2
130517,2,1
130546,2,1
130613,2,1
130633,2,1
130750,2,1
130953,2,1
130990,3,2
131012,3,2
131102,2,1
131233,2,1
131496,5,4
131508,2,1
131813,2,1
132119,2,1
132191,2,1
132419,2,1
132454,2,1
132459,17,16
132477,21,17
132507,3,2
132520,3,2
132522,4,3
132554,3,2
132581,9,8
132586,4,3
132588,5,4
132604,2,1
132626,3,2
132740,11,8
132749,3,2
132751,2,1
132782,8,6
132797,2,1
132805,2,1
132818,5,4
132863,17,15
132895,7,6
132947,12,9
132955,2,1
133112,2,1
133156,10,9
133201,2,1
133202,26,25
133213,2,1
133214,2,1
133303,3,2
133355,12,11
133363,3,2
133365,5,4
133369,3,2
133370,3,2
133374,17,16
133375,9,7
133380,16,11
133382,3,2
133400,7,6
133402,4,3
133556,4,3
133568,4,1
133572,2,1
133598,3,2
133602,14,10
133653,2,1
133661,39,37
133665,4,3
133693,2,1
133698,2,1
133724,4,3
133793,2,1
133814,4,3
133852,12,11
133875,2,1
133972,15,13
133991,3,2
134009,4,3
134045,19,18
134070,3,2
134101,8,3
134103,3,2
134106,4,2
134108,2,1
134109,2,1
134110,4,1
134111,2,1
134112,2,1
134113,2,1
134123,4,3
134125,2,1
134126,2,1
134127,8,3
134128,2,1
134129,2,1
134130,2,1
134131,4,2
134132,2,1
134133,2,1
134134,2,1
134139,6,4
134141,2,1
134142,2,1
134143,2,1
134147,2,1
134149,2,1
134150,2,1
134151,2,1
134152,3,1
134153,2,1
134154,2,1
134155,8,3
134157,2,1
134158,2,1
134159,2,1
134160,2,1
134161,2,1
134163,2,1
134164,2,1
134167,4,2
134168,4,2
134169,2,1
134170,2,1
134171,4,2
134179,4,2
134183,3,2
134188,4,2
134196,6,3
134198,3,2
134202,4,3
134207,4,3
134212,7,3
134223,4,2
134227,4,3
134268,5,3
134312,3,2
134329,3,2
134362,2,1
134484,2,1
134618,6,5
134644,5,4
134646,4,3
134651,3,2
134723,2,1
134736,2,1
134745,2,1
134751,2,1
134754,2,1
134773,3,2
134779,10,9
134815,3,2
134833,3,1
134877,2,1
134933,2,1
135074,3,1
135109,4,2
135121,2,1
135129,4,2
135133,3,2
135134,2,1
135256,2,1
135299,13,12
135328,29,28
135372,3,1
135377,2,1
135527,3,2
135588,6,5
135778,2,1
135809,2,1
135875,2,1
135985,2,1
135999,9,8
136014,2,1
136043,5,4
136095,5,4
136134,2,1
136143,2,1
136147,2,1
136166,4,3
136169,9,8
136259,2,1
136262,2,1
136264,2,1
136267,5,2
136269,3,1
136272,3,1
136273,3,1
136274,3,1
136303,13,9
136353,4,3
136441,12,11
136508,13,12
136576,3,2
136597,2,1
136602,2,1
136658,2,1
136709,4,3
136715,2,1
136767,4,2
136777,3,2
136779,4,3
136799,8,6
136800,4,3
136805,8,7
136806,4,3
136820,12,10
136821,2,1
136859,2,1
136881,8,4
136937,2,1
137030,4,3
137032,14,10
137037,6,4
137047,2,1
137048,2,1
137060,8,7
137082,7,5
137105,8,9
137114,4,3
137162,3,2
137172,4,3
137220,4,3
137274,3,2
137277,3,2
137282,10,8
137289,4,3
137315,9,8
137320,7,5
137321,6,5
137326,2,1
137419,2,1
137484,2,1
137486,19,18
137492,2,1
137495,2,1
137496,2,1
137497,8,5
137503,2,1
137504,2,1
137509,2,1
137656,4,3
137660,7,6
137750,6,5
137843,17,16
137961,63,62
137967,12,11
137996,3,1
138055,9,8
138060,8,6
138076,2,1
138083,2,1
138086,2,1
138087,2,1
138088,2,1
138089,3,2
138090,2,1
138091,2,1
138092,2,1
138095,2,1
138096,2,1
138123,7,6
138204,2,1
138323,11,10
138356,2,1
138411,2,1
138429,7,6
138509,6,5
138510,9,6
138512,4,3
138542,2,1
138586,2,1
138715,2,1
138723,5,4
138765,8,4
138780,2,1
138804,2,1
138805,2,1
138842,2,1
138879,2,1
138890,7,6
138922,3,2
138963,11,8
138998,4,3
139017,21,18
139023,11,10
139045,3,2
139060,2,1
139062,2,1
139063,2,1
139103,3,2
139125,7,6
139130,2,1
139187,4,3
139198,6,5
139257,9,8
139258,3,2
139260,2,1
139261,4,3
